order_month,active_customers,new_customers,repeat_customers,reactivated_customers,total_orders,total_sales,total_profit
2014-01-01,32,32,0,0,32.0,14236.9,2450.18
2014-02-01,27,24,3,0,28.0,4519.9,862.31
2014-03-01,69,65,4,0,71.0,55691.02,498.69
2014-04-01,64,56,8,0,66.0,28295.34,3488.84
2014-05-01,67,56,11,2,69.0,23648.3,2738.71
2014-06-01,63,48,15,7,66.0,34595.13,4976.5
2014-07-01,65,44,21,13,65.0,33946.41,-841.46
2014-08-01,70,49,21,11,72.0,27909.47,5318.1
2014-09-01,118,68,50,32,130.0,81777.33,8328.05
2014-10-01,75,42,33,16,78.0,31453.36,3448.24
2014-11-01,139,62,77,48,151.0,78628.71,9292.12
2014-12-01,134,49,85,51,141.0,69545.6,8983.62
2015-01-01,28,7,21,11,29.0,18174.06,-3280.99
2015-02-01,36,7,29,23,36.0,11951.39,2813.88
2015-03-01,77,18,59,37,79.0,38726.27,9732.07
2015-04-01,69,12,57,47,72.0,34195.22,4187.51
2015-05-01,69,12,57,43,74.0,30131.71,4667.87
2015-06-01,68,12,56,48,68.0,24797.28,3335.55
2015-07-01,64,8,56,47,66.0,28765.35,3288.63
2015-08-01,64,12,52,46,68.0,36898.32,5355.84
2015-09-01,126,16,110,93,140.0,64595.95,8209.14
2015-10-01,79,9,70,52,87.0,31404.92,2817.36
2015-11-01,146,10,136,109,158.0,75972.54,12474.8
2015-12-01,141,13,128,86,161.0,74919.53,8016.95
2016-01-01,46,6,40,24,48.0,18542.5,2824.83
2016-02-01,42,2,40,31,45.0,22978.82,5004.6
2016-03-01,80,6,74,69,86.0,51715.89,3611.98
2016-04-01,83,7,76,65,89.0,38750.05,2977.84
2016-05-01,96,7,89,65,108.0,56987.74,8662.06
2016-06-01,90,8,82,63,97.0,40344.55,4750.39
2016-07-01,89,2,87,63,96.0,39261.95,4432.9
2016-08-01,86,4,82,63,90.0,31115.37,2062.04
2016-09-01,176,0,176,139,192.0,73410.09,9328.65
2016-10-01,95,1,94,69,105.0,59687.76,16243.19
2016-11-01,165,6,159,108,183.0,79411.99,4011.44
2016-12-01,157,2,155,102,176.0,96999.02,17885.31
2017-01-01,67,0,67,45,69.0,43971.39,7140.45
2017-02-01,53,0,53,40,53.0,20301.12,1613.91
2017-03-01,115,3,112,76,118.0,58872.4,14751.92
2017-04-01,109,1,108,76,116.0,36521.53,933.28
2017-05-01,113,0,113,75,118.0,44261.09,6342.62
2017-06-01,118,1,117,88,133.0,52981.77,8223.39
2017-07-01,102,2,100,72,111.0,45264.4,6952.63
2017-08-01,104,0,104,69,111.0,63120.89,9041.04
2017-09-01,196,1,195,149,226.0,87866.68,10991.63
2017-10-01,136,2,134,89,147.0,77776.94,9275.31
2017-11-01,216,1,215,142,261.0,118447.83,9690.1
2017-12-01,195,0,195,116,224.0,83829.3,8483.37
