cohort_month,activity_month,cohort_period_month,cohort_customers,retained_customers,inactive_from_cohort,retention_rate_pct
2014-01-01,2014-01-01,0,32,32,0,100.0
2014-01-01,2014-02-01,1,32,3,29,9.38
2014-01-01,2014-04-01,3,32,2,30,6.25
2014-01-01,2014-05-01,4,32,2,30,6.25
2014-01-01,2014-07-01,6,32,2,30,6.25
2014-01-01,2014-08-01,7,32,4,28,12.5
2014-01-01,2014-09-01,8,32,5,27,15.63
2014-01-01,2014-10-01,9,32,3,29,9.38
2014-01-01,2014-11-01,10,32,7,25,21.88
2014-01-01,2014-12-01,11,32,5,27,15.63
2014-01-01,2015-01-01,12,32,3,29,9.38
2014-01-01,2015-03-01,14,32,3,29,9.38
2014-01-01,2015-04-01,15,32,3,29,9.38
2014-01-01,2015-05-01,16,32,3,29,9.38
2014-01-01,2015-06-01,17,32,4,28,12.5
2014-01-01,2015-07-01,18,32,3,29,9.38
2014-01-01,2015-08-01,19,32,2,30,6.25
2014-01-01,2015-09-01,20,32,4,28,12.5
2014-01-01,2015-11-01,22,32,6,26,18.75
2014-01-01,2015-12-01,23,32,5,27,15.63
2014-01-01,2016-01-01,24,32,2,30,6.25
2014-01-01,2016-02-01,25,32,1,31,3.13
2014-01-01,2016-03-01,26,32,5,27,15.63
2014-01-01,2016-04-01,27,32,4,28,12.5
2014-01-01,2016-05-01,28,32,3,29,9.38
2014-01-01,2016-06-01,29,32,5,27,15.63
2014-01-01,2016-07-01,30,32,1,31,3.13
2014-01-01,2016-08-01,31,32,1,31,3.13
2014-01-01,2016-09-01,32,32,11,21,34.38
2014-01-01,2016-10-01,33,32,2,30,6.25
2014-01-01,2016-11-01,34,32,9,23,28.13
2014-01-01,2016-12-01,35,32,6,26,18.75
2014-01-01,2017-01-01,36,32,5,27,15.63
2014-01-01,2017-02-01,37,32,1,31,3.13
2014-01-01,2017-03-01,38,32,6,26,18.75
2014-01-01,2017-04-01,39,32,4,28,12.5
2014-01-01,2017-05-01,40,32,5,27,15.63
2014-01-01,2017-06-01,41,32,4,28,12.5
2014-01-01,2017-07-01,42,32,1,31,3.13
2014-01-01,2017-08-01,43,32,2,30,6.25
2014-01-01,2017-09-01,44,32,9,23,28.13
2014-01-01,2017-10-01,45,32,9,23,28.13
2014-01-01,2017-11-01,46,32,10,22,31.25
2014-01-01,2017-12-01,47,32,6,26,18.75
2014-02-01,2014-02-01,0,24,24,0,100.0
2014-02-01,2014-03-01,1,24,4,20,16.67
2014-02-01,2014-04-01,2,24,2,22,8.33
2014-02-01,2014-05-01,3,24,1,23,4.17
2014-02-01,2014-07-01,5,24,2,22,8.33
2014-02-01,2014-08-01,6,24,2,22,8.33
2014-02-01,2014-09-01,7,24,3,21,12.5
2014-02-01,2014-10-01,8,24,3,21,12.5
2014-02-01,2014-11-01,9,24,4,20,16.67
2014-02-01,2014-12-01,10,24,4,20,16.67
2014-02-01,2015-01-01,11,24,1,23,4.17
2014-02-01,2015-03-01,13,24,2,22,8.33
2014-02-01,2015-04-01,14,24,2,22,8.33
2014-02-01,2015-05-01,15,24,2,22,8.33
2014-02-01,2015-06-01,16,24,2,22,8.33
2014-02-01,2015-07-01,17,24,3,21,12.5
2014-02-01,2015-09-01,19,24,6,18,25.0
2014-02-01,2015-10-01,20,24,2,22,8.33
2014-02-01,2015-11-01,21,24,3,21,12.5
2014-02-01,2015-12-01,22,24,2,22,8.33
2014-02-01,2016-02-01,24,24,3,21,12.5
2014-02-01,2016-03-01,25,24,1,23,4.17
2014-02-01,2016-04-01,26,24,1,23,4.17
2014-02-01,2016-05-01,27,24,4,20,16.67
2014-02-01,2016-07-01,29,24,3,21,12.5
2014-02-01,2016-08-01,30,24,4,20,16.67
2014-02-01,2016-09-01,31,24,4,20,16.67
2014-02-01,2016-10-01,32,24,4,20,16.67
2014-02-01,2016-11-01,33,24,4,20,16.67
2014-02-01,2016-12-01,34,24,4,20,16.67
2014-02-01,2017-01-01,35,24,4,20,16.67
2014-02-01,2017-02-01,36,24,3,21,12.5
2014-02-01,2017-03-01,37,24,4,20,16.67
2014-02-01,2017-04-01,38,24,2,22,8.33
2014-02-01,2017-05-01,39,24,2,22,8.33
2014-02-01,2017-06-01,40,24,5,19,20.83
2014-02-01,2017-07-01,41,24,3,21,12.5
2014-02-01,2017-08-01,42,24,3,21,12.5
2014-02-01,2017-09-01,43,24,4,20,16.67
2014-02-01,2017-10-01,44,24,6,18,25.0
2014-02-01,2017-11-01,45,24,6,18,25.0
2014-02-01,2017-12-01,46,24,3,21,12.5
2014-03-01,2014-03-01,0,65,65,0,100.0
2014-03-01,2014-04-01,1,65,4,61,6.15
2014-03-01,2014-05-01,2,65,2,63,3.08
2014-03-01,2014-06-01,3,65,8,57,12.31
2014-03-01,2014-07-01,4,65,7,58,10.77
2014-03-01,2014-09-01,6,65,7,58,10.77
2014-03-01,2014-10-01,7,65,5,60,7.69
2014-03-01,2014-11-01,8,65,8,57,12.31
2014-03-01,2014-12-01,9,65,6,59,9.23
2014-03-01,2015-01-01,10,65,1,64,1.54
2014-03-01,2015-02-01,11,65,2,63,3.08
2014-03-01,2015-03-01,12,65,6,59,9.23
2014-03-01,2015-04-01,13,65,3,62,4.62
2014-03-01,2015-05-01,14,65,5,60,7.69
2014-03-01,2015-06-01,15,65,5,60,7.69
2014-03-01,2015-07-01,16,65,3,62,4.62
2014-03-01,2015-08-01,17,65,5,60,7.69
2014-03-01,2015-09-01,18,65,9,56,13.85
2014-03-01,2015-10-01,19,65,11,54,16.92
2014-03-01,2015-11-01,20,65,13,52,20.0
2014-03-01,2015-12-01,21,65,12,53,18.46
2014-03-01,2016-01-01,22,65,4,61,6.15
2014-03-01,2016-02-01,23,65,4,61,6.15
2014-03-01,2016-03-01,24,65,6,59,9.23
2014-03-01,2016-04-01,25,65,8,57,12.31
2014-03-01,2016-05-01,26,65,8,57,12.31
2014-03-01,2016-06-01,27,65,6,59,9.23
2014-03-01,2016-07-01,28,65,9,56,13.85
2014-03-01,2016-08-01,29,65,5,60,7.69
2014-03-01,2016-09-01,30,65,13,52,20.0
2014-03-01,2016-10-01,31,65,8,57,12.31
2014-03-01,2016-11-01,32,65,13,52,20.0
2014-03-01,2016-12-01,33,65,10,55,15.38
2014-03-01,2017-01-01,34,65,2,63,3.08
2014-03-01,2017-02-01,35,65,6,59,9.23
2014-03-01,2017-03-01,36,65,6,59,9.23
2014-03-01,2017-04-01,37,65,12,53,18.46
2014-03-01,2017-05-01,38,65,13,52,20.0
2014-03-01,2017-06-01,39,65,10,55,15.38
2014-03-01,2017-07-01,40,65,12,53,18.46
2014-03-01,2017-08-01,41,65,6,59,9.23
2014-03-01,2017-09-01,42,65,19,46,29.23
2014-03-01,2017-10-01,43,65,8,57,12.31
2014-03-01,2017-11-01,44,65,18,47,27.69
2014-03-01,2017-12-01,45,65,16,49,24.62
2014-04-01,2014-04-01,0,56,56,0,100.0
2014-04-01,2014-05-01,1,56,6,50,10.71
2014-04-01,2014-06-01,2,56,2,54,3.57
2014-04-01,2014-07-01,3,56,4,52,7.14
2014-04-01,2014-08-01,4,56,3,53,5.36
2014-04-01,2014-09-01,5,56,8,48,14.29
2014-04-01,2014-10-01,6,56,6,50,10.71
2014-04-01,2014-11-01,7,56,9,47,16.07
2014-04-01,2014-12-01,8,56,8,48,14.29
2014-04-01,2015-01-01,9,56,1,55,1.79
2014-04-01,2015-02-01,10,56,4,52,7.14
2014-04-01,2015-03-01,11,56,5,51,8.93
2014-04-01,2015-04-01,12,56,8,48,14.29
2014-04-01,2015-05-01,13,56,10,46,17.86
2014-04-01,2015-06-01,14,56,6,50,10.71
2014-04-01,2015-07-01,15,56,5,51,8.93
2014-04-01,2015-08-01,16,56,6,50,10.71
2014-04-01,2015-09-01,17,56,9,47,16.07
2014-04-01,2015-10-01,18,56,3,53,5.36
2014-04-01,2015-11-01,19,56,14,42,25.0
2014-04-01,2015-12-01,20,56,11,45,19.64
2014-04-01,2016-01-01,21,56,3,53,5.36
2014-04-01,2016-02-01,22,56,2,54,3.57
2014-04-01,2016-03-01,23,56,7,49,12.5
2014-04-01,2016-04-01,24,56,5,51,8.93
2014-04-01,2016-05-01,25,56,8,48,14.29
2014-04-01,2016-06-01,26,56,9,47,16.07
2014-04-01,2016-07-01,27,56,8,48,14.29
2014-04-01,2016-08-01,28,56,5,51,8.93
2014-04-01,2016-09-01,29,56,14,42,25.0
2014-04-01,2016-10-01,30,56,6,50,10.71
2014-04-01,2016-11-01,31,56,14,42,25.0
2014-04-01,2016-12-01,32,56,15,41,26.79
2014-04-01,2017-01-01,33,56,4,52,7.14
