cohort_month,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24,month_25,month_26,month_27,month_28,month_29,month_30,month_31,month_32,month_33,month_34,month_35,month_36,month_37,month_38,month_39,month_40,month_41,month_42,month_43,month_44,month_45,month_46,month_47
2014-01-01,100.0,9.38,,6.25,6.25,,6.25,12.5,15.63,9.38,21.88,15.63,9.38,,9.38,9.38,9.38,12.5,9.38,6.25,12.5,,18.75,15.63,6.25,3.13,15.63,12.5,9.38,15.63,3.13,3.13,34.38,6.25,28.13,18.75,15.63,3.13,18.75,12.5,15.63,12.5,3.13,6.25,28.13,28.13,31.25,18.75
2014-02-01,100.0,16.67,8.33,4.17,,8.33,8.33,12.5,12.5,16.67,16.67,4.17,,8.33,8.33,8.33,8.33,12.5,,25.0,8.33,12.5,8.33,,12.5,4.17,4.17,16.67,,12.5,16.67,16.67,16.67,16.67,16.67,16.67,12.5,16.67,8.33,8.33,20.83,12.5,12.5,16.67,25.0,25.0,12.5,
2014-03-01,100.0,6.15,3.08,12.31,10.77,,10.77,7.69,12.31,9.23,1.54,3.08,9.23,4.62,7.69,7.69,4.62,7.69,13.85,16.92,20.0,18.46,6.15,6.15,9.23,12.31,12.31,9.23,13.85,7.69,20.0,12.31,20.0,15.38,3.08,9.23,9.23,18.46,20.0,15.38,18.46,9.23,29.23,12.31,27.69,24.62,,
2014-04-01,100.0,10.71,3.57,7.14,5.36,14.29,10.71,16.07,14.29,1.79,7.14,8.93,14.29,17.86,10.71,8.93,10.71,16.07,5.36,25.0,19.64,5.36,3.57,12.5,8.93,14.29,16.07,14.29,8.93,25.0,10.71,25.0,26.79,7.14,5.36,25.0,5.36,19.64,8.93,12.5,14.29,26.79,14.29,25.0,25.0,,,
2014-05-01,100.0,8.93,8.93,7.14,17.86,3.57,21.43,17.86,7.14,5.36,7.14,12.5,3.57,8.93,3.57,8.93,14.29,10.71,19.64,14.29,8.93,3.57,5.36,12.5,12.5,8.93,8.93,7.14,19.64,14.29,23.21,23.21,7.14,5.36,5.36,8.93,7.14,19.64,12.5,10.71,28.57,12.5,30.36,16.07,,,,
2014-06-01,100.0,2.08,4.17,8.33,4.17,18.75,16.67,2.08,8.33,12.5,10.42,10.42,6.25,8.33,14.58,10.42,14.58,33.33,18.75,6.25,4.17,18.75,10.42,8.33,10.42,8.33,4.17,22.92,20.83,14.58,29.17,6.25,6.25,8.33,12.5,18.75,18.75,10.42,6.25,27.08,14.58,29.17,22.92,,,,,
2014-07-01,100.0,13.64,11.36,,11.36,18.18,4.55,,18.18,4.55,15.91,15.91,11.36,,11.36,9.09,13.64,15.91,4.55,4.55,9.09,11.36,13.64,13.64,9.09,20.45,15.91,13.64,25.0,22.73,6.82,15.91,9.09,13.64,15.91,20.45,9.09,13.64,25.0,22.73,29.55,20.45,,,,,,
2014-08-01,100.0,16.33,6.12,22.45,10.2,6.12,8.16,4.08,8.16,6.12,10.2,12.24,4.08,18.37,12.24,16.33,26.53,4.08,2.04,8.16,6.12,14.29,12.24,14.29,18.37,30.61,10.2,22.45,22.45,4.08,8.16,6.12,16.33,14.29,14.29,18.37,16.33,18.37,24.49,22.45,20.41,,,,,,,
2014-09-01,100.0,13.24,13.24,16.18,1.47,2.94,13.24,14.71,13.24,2.94,8.82,11.76,17.65,8.82,19.12,22.06,2.94,7.35,13.24,7.35,13.24,11.76,10.29,5.88,17.65,4.41,22.06,19.12,4.41,2.94,13.24,13.24,11.76,16.18,19.12,13.24,22.06,14.71,23.53,17.65,,,,,,,,
2014-10-01,100.0,7.14,11.9,2.38,7.14,9.52,11.9,9.52,7.14,9.52,9.52,16.67,9.52,19.05,11.9,4.76,7.14,9.52,16.67,21.43,11.9,9.52,11.9,23.81,16.67,11.9,16.67,7.14,9.52,14.29,11.9,16.67,23.81,19.05,9.52,26.19,16.67,30.95,33.33,,,,,,,,,
2014-11-01,100.0,24.19,,4.84,8.06,6.45,3.23,9.68,4.84,8.06,17.74,8.06,20.97,24.19,3.23,6.45,8.06,12.9,4.84,9.68,11.29,8.06,25.81,9.68,16.13,22.58,6.45,3.23,20.97,19.35,17.74,11.29,8.06,14.52,22.58,19.35,30.65,35.48,,,,,,,,,,
2014-12-01,100.0,6.12,8.16,8.16,4.08,6.12,8.16,12.24,10.2,18.37,12.24,12.24,18.37,8.16,2.04,10.2,12.24,10.2,12.24,12.24,14.29,24.49,8.16,24.49,24.49,8.16,6.12,8.16,10.2,16.33,14.29,14.29,18.37,20.41,18.37,30.61,30.61,,,,,,,,,,,
2015-01-01,100.0,,14.29,,14.29,14.29,28.57,,,14.29,14.29,14.29,14.29,,,14.29,14.29,,,14.29,,14.29,28.57,,,14.29,28.57,28.57,28.57,14.29,14.29,14.29,,28.57,,14.29,,,,,,,,,,,,
2015-02-01,100.0,,14.29,,,14.29,,28.57,,,14.29,,14.29,,,,,28.57,,14.29,14.29,14.29,14.29,14.29,,,14.29,57.14,,,28.57,14.29,28.57,28.57,28.57,,,,,,,,,,,,,
2015-03-01,100.0,5.56,5.56,16.67,5.56,5.56,16.67,5.56,16.67,5.56,5.56,11.11,5.56,5.56,16.67,11.11,,11.11,38.89,16.67,33.33,27.78,33.33,5.56,5.56,11.11,11.11,5.56,,22.22,,22.22,27.78,22.22,,,,,,,,,,,,,,
2015-04-01,100.0,,,8.33,,8.33,25.0,16.67,,,8.33,8.33,,,8.33,25.0,8.33,50.0,8.33,16.67,16.67,16.67,,,8.33,,16.67,25.0,8.33,33.33,33.33,8.33,25.0,,,,,,,,,,,,,,,
2015-05-01,100.0,,,8.33,16.67,,16.67,16.67,8.33,8.33,25.0,16.67,8.33,16.67,8.33,25.0,25.0,16.67,16.67,8.33,8.33,,25.0,8.33,,25.0,8.33,,50.0,16.67,25.0,16.67,,,,,,,,,,,,,,,,
2015-06-01,100.0,8.33,8.33,41.67,8.33,25.0,16.67,,8.33,25.0,8.33,,41.67,8.33,,16.67,25.0,25.0,16.67,8.33,8.33,41.67,,8.33,,16.67,16.67,25.0,16.67,33.33,25.0,,,,,,,,,,,,,,,,,
2015-07-01,100.0,,,25.0,37.5,12.5,,25.0,,,,12.5,12.5,,,12.5,25.0,12.5,12.5,,12.5,12.5,12.5,25.0,,25.0,25.0,,37.5,12.5,,,,,,,,,,,,,,,,,,
2015-08-01,100.0,25.0,8.33,16.67,25.0,,,,,8.33,16.67,,,33.33,16.67,25.0,25.0,,8.33,16.67,41.67,,16.67,25.0,8.33,41.67,16.67,25.0,16.67,,,,,,,,,,,,,,,,,,,
2015-09-01,100.0,6.25,18.75,6.25,25.0,6.25,18.75,18.75,6.25,,6.25,43.75,18.75,12.5,18.75,12.5,,12.5,25.0,31.25,25.0,18.75,,25.0,43.75,12.5,25.0,25.0,,,,,,,,,,,,,,,,,,,,
2015-10-01,100.0,,44.44,,,,,11.11,,11.11,,11.11,,11.11,11.11,22.22,11.11,11.11,33.33,,,22.22,11.11,22.22,11.11,11.11,33.33,,,,,,,,,,,,,,,,,,,,,
2015-11-01,100.0,10.0,10.0,,,,10.0,10.0,20.0,10.0,10.0,20.0,10.0,20.0,,20.0,30.0,,,,,20.0,40.0,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,100.0,7.69,,7.69,15.38,15.38,,23.08,7.69,23.08,15.38,15.38,7.69,7.69,,23.08,15.38,,7.69,15.38,15.38,7.69,7.69,30.77,23.08,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,100.0,16.67,,16.67,,16.67,16.67,16.67,,16.67,16.67,16.67,,16.67,33.33,,33.33,,33.33,33.33,33.33,,16.67,33.33,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,100.0,,50.0,,,,,,50.0,50.0,,50.0,,50.0,,,,,50.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,100.0,,50.0,,50.0,,16.67,16.67,16.67,16.67,50.0,16.67,16.67,33.33,33.33,16.67,,16.67,16.67,16.67,66.67,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,100.0,28.57,,14.29,14.29,57.14,,14.29,,28.57,,14.29,14.29,,,28.57,,28.57,14.29,14.29,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,100.0,,14.29,28.57,14.29,14.29,28.57,14.29,28.57,14.29,28.57,14.29,14.29,28.57,,,28.57,14.29,28.57,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,100.0,12.5,25.0,37.5,12.5,12.5,12.5,12.5,,25.0,,,25.0,,25.0,37.5,,12.5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,100.0,,,,,,,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,100.0,,,,,25.0,,25.0,50.0,50.0,25.0,,,25.0,,50.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,100.0,,100.0,,,,,,,,100.0,100.0,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,100.0,,16.67,,16.67,16.67,,,,16.67,,16.67,33.33,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,100.0,,,,,,,,,,50.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,100.0,,,33.33,33.33,33.33,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,100.0,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
